"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Eco News","0","Create News Form","1","0","TC-02 — Title validation and Publish button state","0"
"0","Eco News","1","Create News Form","0","0","TC-01 — Form fields validation","0"
"1","Eco News","0","Create News Form","1","0","TC-06 - Valid Source URL","0"
"0","","14","","0","0","","0"
"0","Eco News","1","Create News Form","0","0","TC-05 - Main Text Max Limit Truncation","0"
"0","Eco News","1","Create News Form","1","0","TC-05 - Main Text Too Short","0"
"0","Eco News","0","Create News Form","1","0","TC-07 - Continue Editing","0"
"0","Eco News","0","Create News Form","1","0","TC-06 - Empty Source Field","0"
"0","Eco News","1","Create News Form","1","0","TC-06 - Invalid Source URL","0"
"0","Eco News","0","Create News Form","1","0","TC-05 - Valid Main Text and Publish","0"
"0","Eco News","0","Create News Form","1","0","TC-07 - Confirm Cancel","0"
"1","Eco News","0","Create News Form","0","0","TC-04 - Upload Image field validation","0"
"0","Eco News","0","Create News Form","1","0","TC-04 - Large File","0"
"0","Eco News","0","Create News Form","1","0","TC-04 - Valid PNG","0"
"0","Eco News","0","Create News Form","1","0","TC-04 - Invalid Format","0"
"1","Eco News","0","Create News Form","0","0","TC-06 - Valid Source URL Backend Verification","0"
